Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
Emp1000,Bob,Davis,25.0,Devops-California,Active,4/2/2021,59767.65,Bob.Davis@Example.Com,-1651623197,Average,True
Emp1001,Bob,Brown,32.48454882571075,Finance-Texas,Active,7/10/2020,65304.66,Bob.Brown@Example.Com,-1898471390,Excellent,True
Emp1002,Alice,Jones,32.48454882571075,Admin-Nevada,Pending,12/7/2023,88145.9,Alice.Jones@Example.Com,-5596363211,Good,True
Emp1003,Eva,Davis,25.0,Admin-Nevada,Inactive,11/27/2021,69450.99,Eva.Davis@Example.Com,-3476490784,Good,True
Emp1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,1/5/2022,109324.61,Frank.Williams@Example.Com,-1586734256,Poor,False
Emp1005,Alice,Garcia,40.0,Sales-Texas,Inactive,6/10/2020,88642.84,Alice.Garcia@Example.Com,-5409003485,Good,False
Emp1006,Frank,Jones,32.48454882571075,Admin-Nevada,Active,4/3/2020,96288.43,Frank.Jones@Example.Com,-4518376063,Good,False
Emp1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,7/17/2022,94497.91,Bob.Jones@Example.Com,-4134327559,Average,True
Emp1008,Frank,Davis,35.0,Admin-Nevada,Inactive,12/8/2023,115565.82,Frank.Davis@Example.Com,-4177656123,Excellent,True
Emp1009,Charlie,Johnson,32.48454882571075,Devops-New York,Active,8/4/2022,76561.88,Charlie.Johnson@Example.Com,-8156985699,Excellent,True
Emp1010,David,Williams,35.0,Cloud Tech-New York,Active,7/6/2024,72081.71,David.Williams@Example.Com,-2720634590,Average,False
Emp1011,David,Davis,32.48454882571075,Devops-California,Active,9/4/2023,84946.19,David.Davis@Example.Com,-1238296576,Poor,True
Emp1012,Heidi,Williams,30.0,Hr-New York,Active,3/5/2024,89295.77,Heidi.Williams@Example.Com,-2429543164,Excellent,False
Emp1013,Grace,Williams,32.48454882571075,Finance-California,Active,10/10/2020,85666.84,Grace.Williams@Example.Com,-2669300892,Good,False
Emp1014,Alice,Garcia,25.0,Admin-Nevada,Active,6/10/2024,97633.68,Alice.Garcia@Example.Com,-1734206968,Excellent,True
Emp1015,Grace,Jones,40.0,Sales-Florida,Pending,5/29/2021,117975.49,Grace.Jones@Example.Com,-4215291085,Good,True
Emp1016,Alice,Brown,25.0,Devops-Illinois,Inactive,4/23/2024,94867.33,Alice.Brown@Example.Com,-7713334475,Poor,False
Emp1017,Grace,Garcia,30.0,Finance-Texas,Pending,11/28/2024,100377.65,Grace.Garcia@Example.Com,-2639343625,Average,True
Emp1018,Charlie,Garcia,32.48454882571075,Cloud Tech-Nevada,Inactive,9/19/2024,94726.46,Charlie.Garcia@Example.Com,-2044397358,Excellent,False
Emp1019,Charlie,Williams,35.0,Admin-Illinois,Pending,1/2/2020,91926.12,Charlie.Williams@Example.Com,-7107256365,Average,True
Emp1020,Bob,Miller,35.0,Hr-New York,Active,5/8/2021,111460.67,Bob.Miller@Example.Com,-9411800536,Excellent,True
Emp1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,9/19/2020,96182.56,Bob.Jones@Example.Com,-5990048963,Good,False
Emp1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,3/9/2021,115023.94,Charlie.Johnson@Example.Com,-6528092427,Average,True
Emp1023,David,Garcia,35.0,Finance-Nevada,Pending,2/3/2022,80667.01,David.Garcia@Example.Com,-7572158623,Excellent,False
Emp1024,Bob,Brown,30.0,Admin-Texas,Inactive,2/13/2020,91181.61,Bob.Brown@Example.Com,-1502745643,Good,True
Emp1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,4/30/2020,66025.92,David.Miller@Example.Com,-9485625727,Average,False
Emp1026,Frank,Miller,25.0,Sales-New York,Inactive,10/2/2023,83979.01,Frank.Miller@Example.Com,-7032032073,Average,False
Emp1027,Heidi,Johnson,30.0,Finance-Florida,Active,7/12/2020,56785.16,Heidi.Johnson@Example.Com,-2761707586,Excellent,True
Emp1028,Grace,Garcia,40.0,Finance-Nevada,Active,10/11/2023,95741.88,Grace.Garcia@Example.Com,-7712151341,Excellent,False
Emp1029,Alice,Brown,40.0,Devops-California,Active,5/24/2021,63411.31,Alice.Brown@Example.Com,-2849939088,Excellent,True
Emp1030,Charlie,Jones,40.0,Admin-California,Inactive,5/26/2021,111214.02,Charlie.Jones@Example.Com,-2613715040,Good,True
Emp1031,Bob,Smith,25.0,Devops-Illinois,Active,7/10/2020,114845.69,Bob.Smith@Example.Com,-6591520176,Excellent,True
Emp1032,Charlie,Brown,40.0,Finance-Florida,Active,11/5/2024,78072.82,Charlie.Brown@Example.Com,-7490509758,Average,False
Emp1033,Grace,Johnson,25.0,Finance-California,Inactive,8/7/2021,79610.52,Grace.Johnson@Example.Com,-2304501895,Average,False
Emp1034,Heidi,Miller,30.0,Admin-California,Active,4/29/2020,90542.62,Heidi.Miller@Example.Com,-1642361031,Excellent,True
Emp1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,10/26/2022,114357.1,Frank.Jones@Example.Com,-6642147648,Excellent,True
Emp1036,Alice,Brown,32.48454882571075,Cloud Tech-New York,Active,5/3/2023,54757.26,Alice.Brown@Example.Com,-2515837766,Poor,False
Emp1037,Grace,Smith,25.0,Sales-New York,Pending,5/2/2023,52781.92,Grace.Smith@Example.Com,-4996165925,Average,True
Emp1038,Frank,Smith,35.0,Admin-Nevada,Pending,10/5/2021,66708.02,Frank.Smith@Example.Com,-6108573277,Good,True
Emp1039,Eva,Williams,40.0,Hr-Texas,Active,7/27/2022,93481.15,Eva.Williams@Example.Com,-8147617421,Poor,False
Emp1040,Bob,Williams,25.0,Sales-New York,Pending,6/27/2021,59271.96,Bob.Williams@Example.Com,-4386490809,Excellent,True
Emp1041,Bob,Davis,30.0,Hr-California,Active,6/16/2022,108362.15,Bob.Davis@Example.Com,-8186617944,Excellent,False
Emp1042,Alice,Johnson,32.48454882571075,Hr-Nevada,Active,12/3/2024,59400.38,Alice.Johnson@Example.Com,-4918017225,Average,True
Emp1043,Bob,Garcia,32.48454882571075,Admin-California,Inactive,5/23/2023,64744.08,Bob.Garcia@Example.Com,-164597793,Excellent,False
Emp1044,Eva,Brown,32.48454882571075,Finance-California,Active,7/8/2020,94399.91,Eva.Brown@Example.Com,-5232194167,Good,True
Emp1045,Alice,Brown,25.0,Hr-New York,Pending,6/20/2021,61310.74,Alice.Brown@Example.Com,-61027768,Average,True
Emp1046,Grace,Garcia,32.48454882571075,Cloud Tech-Texas,Active,12/13/2024,98371.37,Grace.Garcia@Example.Com,-7499564121,Excellent,False
Emp1047,Alice,Davis,35.0,Sales-Illinois,Active,5/30/2022,58921.19,Alice.Davis@Example.Com,-310303722,Average,True
Emp1048,Alice,Miller,35.0,Admin-Nevada,Active,9/27/2023,57195.55,Alice.Miller@Example.Com,-6831472759,Excellent,False
Emp1049,Grace,Miller,32.48454882571075,Devops-New York,Active,11/5/2024,61375.12,Grace.Miller@Example.Com,-1227770792,Excellent,True
Emp1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,11/11/2021,104767.05,Charlie.Davis@Example.Com,-3496050165,Excellent,False
Emp1051,David,Miller,35.0,Admin-Nevada,Active,2/22/2022,111051.67,David.Miller@Example.Com,-7998407677,Good,False
Emp1052,David,Williams,30.0,Finance-California,Inactive,8/7/2024,105674.18,David.Williams@Example.Com,-9973080694,Good,False
Emp1053,Alice,Brown,30.0,Finance-California,Inactive,11/5/2024,54859.45,Alice.Brown@Example.Com,-8146717956,Average,False
Emp1054,Frank,Davis,32.48454882571075,Finance-Nevada,Pending,11/9/2021,115746.6,Frank.Davis@Example.Com,-6024375737,Excellent,True
Emp1055,Eva,Brown,30.0,Sales-California,Active,8/10/2020,91759.99,Eva.Brown@Example.Com,-3959724664,Excellent,True
Emp1056,Frank,Garcia,40.0,Sales-Illinois,Active,2/27/2022,112965.33,Frank.Garcia@Example.Com,-7293417222,Good,False
Emp1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,11/7/2023,100360.1,Alice.Smith@Example.Com,-2971674337,Excellent,False
Emp1058,David,Williams,35.0,Finance-Texas,Pending,11/7/2021,93620.88,David.Williams@Example.Com,-54522800,Good,False
Emp1059,Bob,Jones,35.0,Sales-California,Pending,4/16/2022,72832.8,Bob.Jones@Example.Com,-5619318373,Excellent,True
Emp1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,10/19/2023,102369.42,Charlie.Williams@Example.Com,-5508428909,Average,True
Emp1061,Eva,Davis,40.0,Sales-Texas,Inactive,8/10/2021,64712.79,Eva.Davis@Example.Com,-7711991807,Excellent,True
Emp1062,Frank,Jones,40.0,Finance-Florida,Pending,3/13/2021,85782.18,Frank.Jones@Example.Com,-1213524786,Excellent,True
Emp1063,Charlie,Smith,25.0,Hr-Illinois,Pending,7/20/2023,93348.26,Charlie.Smith@Example.Com,-1255213759,Poor,False
Emp1064,David,Davis,35.0,Admin-New York,Active,2/20/2020,53234.96,David.Davis@Example.Com,-3754821455,Good,False
Emp1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2/2/2021,100284.21,Bob.Johnson@Example.Com,-5328632665,Excellent,False
Emp1066,Grace,Brown,30.0,Admin-Nevada,Pending,1/12/2020,112486.19,Grace.Brown@Example.Com,-7850720810,Excellent,True
Emp1067,Bob,Smith,40.0,Admin-New York,Pending,11/26/2022,82518.49,Bob.Smith@Example.Com,-5562606028,Poor,True
Emp1068,Bob,Brown,40.0,Admin-Florida,Pending,12/23/2022,119152.47,Bob.Brown@Example.Com,-846684549,Poor,True
Emp1069,Heidi,Miller,32.48454882571075,Devops-Illinois,Inactive,8/28/2024,113479.83,Heidi.Miller@Example.Com,-4892673898,Good,False
Emp1070,Charlie,Johnson,40.0,Finance-California,Active,9/16/2024,94636.3,Charlie.Johnson@Example.Com,-7563410855,Poor,False
Emp1071,Heidi,Johnson,30.0,Hr-Florida,Active,1/1/2024,70000.97,Heidi.Johnson@Example.Com,-2884318847,Average,True
Emp1072,Frank,Smith,32.48454882571075,Cloud Tech-New York,Active,4/18/2021,76812.47,Frank.Smith@Example.Com,-5200894345,Poor,False
Emp1073,David,Johnson,25.0,Finance-Florida,Inactive,1/16/2023,82614.7,David.Johnson@Example.Com,-8105485100,Average,True
Emp1074,Grace,Jones,40.0,Sales-Nevada,Active,10/20/2024,111645.97,Grace.Jones@Example.Com,-7490753997,Good,True
